Categories, count
Afternoon tea,3
Appetizers / starters,44
Asian,34
Baked & steamed desserts,5
Bread & buns, sweet,3
Breakfast / brunch,12
Brownies, slices & bars,3
Cajun & Creole,2
Cakes, large,3
Candy / sweets,2
Cheesecakes,3
Children & baby food,3
Chili,1
Chinese,24
Chutneys, pickles & relishes,10
Cocktails / drinks (with alcohol),10
Cookies, biscuits & crackers,1
Cooking ahead,48
Cooking for 1 or 2,27
Cooking for a crowd,14
Crumbles, cobblers, crisps & bettys,1
Curry,2
Dessert,39
Dinner parties/entertaining,4
Dips, spreads & salsas,26
Dressings & marinades,69
Egg dishes,5
French,9
Fried doughs,2
Frostings & fillings,3
Grills & BBQ,35
Hawaiian,316
Ice cream & frozen desserts,7
Indonesian,1
Italian,25
Jams, jellies & preserves,4
Japanese,32
Low fat,2
Main course,161
Mediterranean,2
Mexican,1
Mongolian,2
Mousses, trifles, custards & creams,6
North African,1
North American,3
Pancakes, waffles & cr̻pes,1
Pasta, baked,3
Pasta, doughs & sauces,11
Pasta, filled,1
Philippine,1
Picnics & outdoors,29
Pies, tarts & pastries,7
Pizza & calzones,7
Portuguese,1
Quick / easy,13
Rice dishes,6
Salads,43
Sandwiches & burgers,5
Sauces for desserts,4
Sauces for fish,30
Sauces for meat,17
Sauces for poultry,10
Sauces, general,35
Side dish,47
Soups,20
Spice / herb blends & rubs,5
Spring,1
Stews & one-pot meals,13
Stir-fries,24
Stocks,5
Stuffing,5
Summer,8
Swedish,1
Thai,8
Thanksgiving,6
Vegan,28
Vegetarian,65
